,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
49,--,--,Soon-rye Yim,Soon-rye Yim,"Jung-ja works as a ticket clerk at an old theatre on the outskirts of town. On a summer's day, she waits at the theatre for a blind date who may not show up.",14m,Ujungsanchaeg
50,6.5,--,Achilleas Kyriakidis,Achilleas Kyriakidis,Add a plot,18m,"Behold, the Bridegroom Cometh"
51,--,--,Terry R. Wickham,Terry R. Wickham,"Three young women go to an old scary house on Long Island to tell each other their fantasies. One is sexual. One is funny, while the last one is a dramatic love story about the legendary burnt ""Shadow Man"" along the lines of Beauty and The Beast.",34m,Double Fantasy
52,--,--,Alisha ChinaiGautam Kapoor,--,,--,De De De
53,--,--,Anita AyoobAli Haider,--,,--,Maria
54,6.8,--,Miguel Milena,Miguel MilenaMel Smith Windows,When Paula discovers that her neighbor/love interest has a boyfriend she plots her revenge.,12m,El beso perfecto
55,6.6,--,Fernando Fragata,Fernando Fragata,Add a plot,22m,Amor & Alquimia
56,6.6,--,Fatih Akin,Fatih Akin,,11m,Sensin - Du bist es!
57,6.9,--,Marilyn Freeman,Marilyn Freeman,Add a plot,--,Meeting Magdalene
58,6.6,--,Gabriel de Monteynard,Gabriel de Monteynard,Add a plot,5m,"Amour, toujours..."
59,--,--,Laura Gardos,Ana GardosGuillermo Henry,,18m,Estar a tiempo
60,--,--,Martin Hynes,Martin Hynes,A young man tries to piece together the details that led to his breakup with a girlfriend,--,Al as in Al
61,--,--,Patrick Fraser,Scott BraddockRiche BurkeMichael Colton,,26m,Blanks
62,--,--,Cecilia Calvi,Luca Monesi,Add a plot,7m,Mirko e Caterina
63,--,--,--,--,"A young mismatched couple, Flora and Henry become targets for a group of Greek Gods. This romantic comedy set in contemporary London follows the Gods as they attempt to boost their love-inducing powers.",14m,A Little Loving
64,9.0,--,Angel Connell,Angel Connell,"""She's So Cold"" is a psychological musical noir drama which takes place at a government office set in a dystopian future. The request of a mysterious woman (Robin Reck) to view the videotaped confession of a madman (Angel Connell) sets off fierce gossip among three office clerks (Jeff Corveau, Robert Jodka, and Eric Scheiner) over the nature of the woman's relationshi... Read all",13m,She's So Cold
65,--,--,Dimitris Koutsiabasakos,Sergei GromovDimitris Koutsiabasakos,Add a plot,30m,I gefyra
66,--,--,Ashwini Malik,Ashwini Malik,"A young man tells his girlfriend that he is on the run for a murder he has committed. Even though she is unsure whether he is telling the truth, he convinces her to help him dodge the police.",28m,The Waiter in Slow Motion
67,--,59%,Bill White,Bill White,,5m,Meet Cute
68,--,--,Aki Takemura,Aki Takemura,A couple waltzes to spread joy and harmony to LA.,7m,LA Waltz
69,--,--,Saara Cantell,Saara Cantell,"A sad and slightly surreal comedy of love, expressed by dancing.",19m,A Tale of Shatters
70,7.1,--,Alex Proyas,Alex Proyas,"A stressed-out Kafkian man called Ruben retells an embarrassing dream he had. In it, his overbearing mother takes him, naked and embarrassed, to a noirish department store to buy him clothes, a penis and a wife. He looks for a way out.",9m,Book of Dreams: Dream 7 - Ruben's Dream
71,--,--,Bikram SalujaAnupama Verma,--,,--,Boom Boom
72,--,--,Cristian Castro,Cristian Castro,,5m,Cristian Castro: Amor
73,--,--,Alisha ChinaiMarc Robinson,--,,--,Lover Girl
74,5.4,--,Susan Seidelman,Jonathan BrettSusan Seidelman,Teresa is not like her female colleagues. She cannot enjoy that kind of simple minded pleasure like watching males stripping. There is that Dutch painting in the museum she is fascinated of. Over and over she sits in front of it just staring at the young Dutch guy on it. One day the scenery on the painting becomes alive...,28m,The Dutch Master
75,7.3,--,Jos Stelling,Jos Stelling,"A large train station, it might be anywhere in a big city. Waiting passengers, some are curiously observing each other, some are too much involved with their own petty problems to pay attention to anything else. Our man, self- assured, practically undresses some of the woman present with his eyes, at least as long as his wife is absent, trying to get them some coffee.... Read all",29m,De wachtkamer
76,7.7,--,Jeff Fisher,Cormac WibberleyMarianne Wibberley,"When Julia thinks her boyfriend Brent is cheating on her, she sells all his designer clothes in a garage sale.",30m,Garage Sale
77,7.0,--,François Ozon,François Ozon,It's summer. Sébastien loves the singer Sheila. Lucia loves boys. And all Luc wants is to get a nice tan...,15m,Une robe d'été
78,6.5,--,Olivier Smolders,Olivier Smolders,A man persuades various women to pose nude for him and videotapes and narrates about them.,26m,L'amateur
79,6.1,--,Kar-Wai Wong,Tadanobu AsanoKaren Mok,A Japanese-Chinese couple hangs out and shoots each other.,10m,wkw/tk/1996@7'55''hk.net
80,7.9,--,Alexandre Ginnsz,Alexandre Ginnsz,Duo is the story of a boy with Down syndrome who falls in love with a violinist and dreams of becoming her accompanist.,--,Duo: The True Story of a Gifted Child with Down Syndrome
81,--,--,Walter Tallent,Walter Tallent,"An idyllic encounter on the side of a empty country road, where two people bond on their current plights in life while tinkering with a broken down oldsmobile and eventually sitting sipping wine on an old tattered couch next to an open farmland field. Director/writer, Walter Tallent, fleshes out very real and endearing portrayals of middle age in the middle of the roa... Read all",18m,Wheels Are Turning
82,--,--,Antonio Sarte,Antonio Sarte,"Richard meets his ex-girlfriend, Julie, in a bar to tell her that he still loves her, but instead of telling her how he feels, he talks about everything else except what's really important.",13m,Was It Something I Said?
83,--,--,Jean-Louis Jorge,--,"An approach to the magical universe of the Goddess of Love, in between desire, fantasy and the power of erotic dreams.",--,Afrodita
84,--,--,Lance Lucero,Lance Lucero,An epic battle between two Knights.,4m,Fantasyland
85,--,--,Kelsie Morales,Kelsie Morales,,--,Sunset Park High
86,--,--,Rick Gott,Rick Gott,"Deciding to spice up their romance, an older woman decided to lead her partner on an early-morning adventure.",6m,Not Go Fishing
87,--,--,Arjun RampalShweta Shetty,--,,--,Bekaraar
88,--,--,Suchitra PillaiBally Sagoo,--,,--,Dil Cheez
89,9.4,--,Nusrat Fateh Ali KhanLisa Ray,--,Ustad Nusrat Fateh Ali Khan is praising his beloved in his own style.,--,Aafreen Aafreen
90,--,--,Atul AgnihotriAnaida,--,,--,Oova Ova
91,--,--,Vikas BhallaAditi Govitrikar,--,,--,Dhuan Dhuan
92,--,--,Kamaal KhanShahin,--,,--,Kamaal Khan: O O Jaane Jaana
93,--,--,Omkar Kapoor,--,,--,Ik Ladki Pyari Pyari
94,7.1,--,David L. Bertman,David L. Bertman,"When college freshman, Brinton Smith discovers a business card with the number 976-WISH inscribed in silver, he is instantly hooked up with Wish Services, an ultra modernized corporation of unionized Toothfaires, Santa's Helpers and Genies. Assigning a Genie Third Class to his case, the Corporation is unable to grant even the simplest of wishes. Brinton discovers the ... Read all",42m,976-WISH
95,5.8,--,Sanjin Frlan,Sanjin Frlan,,--,Children of the 80's
96,--,33%,Emma Hindley,Margaret CusbyEmma Hindley,"When two lesbian girlfriends attend a party run by two other lesbian girlfriends, it turns out that one of each pair had had a one-night stand together.",17m,The Third Party
97,7.3,--,Don Hertzfeldt,Don HertzfeldtKarin AngerRobert May,Lily and Jim are interviewed about their disastrous blind date.,13m,Lily and Jim
98,--,--,Juha Koiranen,Juha Koiranen,"Jyrki has always been a quiet small town boy. After spotting his old girlfriend on television, he knows what to do. Tiina has to come back home.",40m,"Come Back, Tiina"
99,7.2,64%,Brad CarlsonEddie Schmidt,Brad CarlsonEddie Schmidt,,--,Happenstance
100,7.7,89%,Kat Smith,Kat Smith,A young fugitive witnesses an act which may provide him his last shot at redemption.,26m,The Clearing
101,6.7,--,Daniel Glasser,Daniel Glasser,"The Third Wheel is the story of two friends, and the girl who comes between them.",10m,The Third Wheel
102,6.5,--,Jesper W. Nielsen,Anker Li,"Ida and her family are recovering from the divorce. She is looking forward to the upcoming dance contest. She is also growing up and developing romantic urges of her own. But romance almost destroyed her family and almost cost her her life and Ida wants nothing to do with it. Which is stronger, biology or will-power.",40m,Ogginoggen
103,6.3,78%,Alexandre AjaGrégory Levasseur,Alexandre Aja,"In a strange civilization a little man with man-eating tendencies is in love with Lisa, one of the tenants in the building where he works as superintendent. He is too shy to approach her, until one day he meets a blind florist who gives him the courage to make the first move.",10m,Over the Rainbow
104,5.6,0%,Phillip A. BolandIvan Zuccon,Phillip A. BolandEdgar Allan Poe,A man discovers that in his former life he was an artist that killed his newlywed wife by painting her soul into an Oval Portrait. The dead wife reappears in the present to haunt and kill him for his crime.,25m,The Oval Portrait
105,6.0,--,Sandra Lepore,Sandra Lepore,"Raphaella's first period comes at the same time as her first crush, on Shaun, a cook's assistant and the brother of her friend Sharon. Raphaella's Italian aunt insists that they make ""love biscuits"" for Shaun, a recipe from the old country using three drops of menstrual blood. Raphaella sends the cookies to Shaun via Sharon, who announces her own crush on Raphaella. I... Read all",14m,Acquiring a Taste for Raffaella
106,--,83%,Bridget Lyon,Bridget Lyon,"When a wave crashes onto the shore, Maria captures it and brings it home for her fish tank, but the wave defies ownership or confinement and Maria pays the ultimate price.",--,The Wave
107,4.7,--,Daniel Baer,Daniel Baer,Mario and David have fashioned a life together in South Texas that revolves around horses and each other.,20m,Horse Dreams in BBQ Country
108,4.3,--,Ray Vecchiola,Carlo AngeloDavid BirdsellGino Cantini,,25m,The Blue Boy
109,4.4,--,Andrew Porter,Andrew Porter,A young gay man experiences the difficulties of bringing a pal home for the evening when mom and sis are home.,8m,Nobody I Know
110,5.8,--,Seth Jarrett,Seth Jarrett,,29m,"Six Months of Darkness, Six Months of Light"
111,--,--,Carlos García Agraz,Mónica DionneRoberto Sosa,,22m,Los amantes de Bulgaria
112,7.0,--,Romeu di Sessa,Romeu di Sessa,"In ""Átimo"", the short presents the story of a couple divided after a trip to Europe. He decides to stay and become an immigrant while she decides to leave because she doesn't see herself outside of her homeland. Then the story cuts to five years later when she changes her mind.",30m,Átimo
113,--,77%,Melissa Carter,Melissa Carter,,20m,Used Cars
114,6.1,--,Cynthia Roberts,Melissa Cox,,18m,Bridal Path
115,6.6,--,Lewis Klahr,--,Superman's pal Jimmy Olsen gets his own story. Boy meets girl. Boy loses girl. Boy meets boy!,15m,Pony Glass
116,--,--,Anne Chapman,Anne Chapman,"A clumsy businessman is made fun of by the neighborhood children because he rides his bicycle to work every day. One morning, he falls off his bike and decides not to get up, figuring he is no use to anyone...",--,The Cycle of Love
117,6.7,--,Tiffany Dang,Tiffany Dang,"Twoan, who lives at an all female orphanage home with traditional Vietnamese values, and Joe, an American traveler obsessed with the beauty of Twoan and her serene ways. Will the Guardian of the home grant Twoan's desire or will Twoan dishonor her tradition to be with Joe?",23m,Torn
118,8.0,--,Stephen Lowenstein,Stephen Lowenstein,"Oscar asks his girlfriend, Lulu, to marry him but she refuses. Even worse she is not sure that she wants to continue their relationship any longer. Oscar is devastated by the rejection and is uncertain what to do next. After visiting a friend who suggested the old cliché that love conquers all, Oscar resorts to an extremely unusual method to solve the problem of Lulu'... Read all",15m,The Man Who Held His Breath
119,7.4,65%,Andrew Newman,Andrew Newman,,13m,Boy Meets Girl
120,6.4,--,François Ozon,François Ozon,"Seven brief scenes, each with a couple, explore the surprises and the changes of heart that can occur during sexual encounters. Only one of the seven couples has been in bed together before; several are strangers or new acquaintances. A prostitute and her john, an older woman and a youth who follows her home, two women friends, a gay man with a straight man, a man wit... Read all",25m,Scènes de lit
121,7.3,--,Mark Sawers,Mark Sawers,"On an elevator, Stuart sees an attractive blond woman in black boots, but loses his nerve before speaking to her. His life is dull: typical chores include watering his cactus and buying a toilet brush. That Friday night, he sees the woman from the elevator get into a cab. He gives chase and watches her enter a house where a party is going on. Deciding to live dangerou... Read all",13m,Shoes Off!
122,5.7,--,Wrik Mead,David ArcherSteve MarshallKim Truchan,"Another revenge tale, this time against that meddlesome cherub. Cupid gets beaten at his own game.",3m,Cupid
123,6.1,28%,Lane Janger,Lane Janger,"A man wants his girlfriend to have a sexual relationship with another girl, just one time.",8m,Just One Time
124,5.0,67%,Greg QuailJonathan Geraghty,Lisbeth Kennelly,,7m,I Want You
125,8.5,--,Sungkwan Yoo,Sungkwan Yoo,,16m,Cheot sarang
126,--,--,Ulrich Weis,Ulrich Weis,,23m,Mein Revier
127,--,--,Amy Lowe Starbin,Amy Lowe Starbin,"Maddie and Pete seem perfect for each other: she's a waitress, he's a Hibachi chef. Their obsession with food extends from the daily grind to the bedroom. But is it enough? Maddie wants more - and thinks that maybe Pete is holding her back. Carol chose a future as a professional university professor twenty years ago, yet she teaches the poetry of the man she left behi... Read all",--,Milk and Honey
128,7.7,--,Lee Chambers,Richard LumsdenHoyt RichardsKristin Keam,Add a plot,15m,Distress Signals
129,6.3,--,Q. Allan Brocka,Q. Allan Brocka,Add a plot,--,Quenton (Queerbait)
130,6.1,--,Ülo Pikkov,Ülo Pikkov,,11m,Bermuda
131,7.2,--,Vincent Sassone,Vincent Sassone,"Italian Lessons is the touching, humorous story of Caterina, a beautiful young widow who teaches Italian to Peter, a high school student who uses the ""language of love"" simply to score with girls. Peter's passion for life re-ignites feelings Caterina has not experienced since her husband's death and soon she and the boy are drawn into a strange and special relationshi... Read all",36m,Italian Lessons
132,8.3,100%,Kelly Peeples,Kelly Peeples,"Suburbia 1967. Eleven-year-old Susan Bradley has only one thing on her mind, and it's not schoolwork. It's Mike Nesmith of The Monkees, the popular pop group made famous in the television sitcom of the same name. Susan, with ""boyfriend"" Nesmith, lives in a daydream, a sixties riot of psychedelic colors and goofy, soft-focus, teenage-girl love scenes. Her well-meaning ... Read all",17m,Daydream Believer
133,6.2,--,Ray Yeung,Gerald ChewRosa FongIvan Heng,"Monty, a gay Chinese guy living in London, makes it a habit to date only white boys. When his handsome East Asian neighbor invites him over for dinner, Monty has to decide if he's an Anglophile or simply prejudiced.",26m,Yellow Fever
134,7.0,--,James Kerwin,James KerwinWilliam ShakespeareTim Shane,A girl must choose between an arranged marriage and a life of celibacy in this modern take on the Shakespeare classic.,--,Midsummer
135,6.4,--,John Henry Richardson,John Henry Richardson,"A gang of modern-day bank robbers (the Johnny Hill Gang) who pattern their robberies after the exploits of the notorious John Dillinger. When the gang discovers that the legendary outlaw-who was reported to have been gunned down by the FBI in 1934-is still alive, they go on a cross country quest to find the real Dillinger...",25m,Dillinger in Paradise
136,7.6,78%,Joe Nussbaum,Joe NussbaumDaniel ShereTimothy Dowling,"1967 film student George Lucas has writer's block trying to finish his ""Space Wheat"" script, until a beautiful fellow student with a familiar hairstyle teaches him that the best stories are in plain sight.",8m,George Lucas in Love
137,6.8,--,Guillem Morales,Francesc J. Hernàndez,"In the back room of a gay club in Barcelona, the camera stalks the men (privy to their inner thoughts in voice overs), who stalk each other on a typically busy Saturday night",14m,Back Room
138,7.1,--,James Brett,James BrettAllison HolmesFay Efrosini Lellios,Award-winning short comedy. A wide-eyed teen sits in car outside a small-town bank waiting for her crazy boyfriend as the day approaches.,28m,Deadtime
139,6.9,32%,Hope Thompson,Hope Thompson,"Set in 1949 Toronto, this film tells the story of Isabelle, a telephone operator who is leading a double life. She is having a clandestine affair with another operator, Alice, while her boyfriend Ricky is secretly making plans to elope with her to Niagara Falls.",23m,Switch
140,7.8,--,James Genn,James Genn,"Diane forgot her glasses during a one-night stand. She goes back to Jason, who is playing with worms in the garden, to pick them up.",11m,Second Date
141,6.6,84%,Marc-Olivier DuBois,Laly MeignanPascal Oumaklouf,,25m,Emma
142,--,--,Tink,Tink,"Far away in the tranquil countryside, an unexpected and melodic love blossoms",13m,The Pick-up
143,9.1,--,Stéphane Ly-Cuong,Stéphane Ly-Cuong,Add a plot,14m,La jeune fille et la tortue
144,9.8,--,Michael DanaJay Gable,Jay Gable,"It's Christmas in Hoboken. Brought together in the local fish store, a beautiful woman, a mystical little boy and a strong bond between two brothers renew a fisherman's interrupted faith.",20m,Heads and Tails
145,7.0,--,Pratibha Parmar,Jaden Clark,"Wavelengths is a short dramatic film about the time honoured quest for love and human intimacy. This stylish, witty and warm movie set in gay bars, in dreams, in adverts and cyberspace delights in the gloss of the world it depicts as it explores one womans foray into cybersex looking for emotionally safer sex.",15m,Wavelengths
146,5.2,--,Seamus Rea,Michael LeslieMarcus Palfour,Gay teacher at an agricultural college literally follows his dream and learns ballroom dancing when he encounters a hunk entering the studio.,17m,Ginger Beer
147,6.6,--,Andrew Abrahams,Eric NewtonHogan Vando,Two men struggle underwater. Do they struggle with love or with each other?,5m,Casualty
148,--,--,Josh Mensch,Josh Mensch,A 1950's fairy tale about star-crossed young lovers.,22m,When Stars Fall
149,--,--,Martin Wilson,Adrian Mulraney,"An intense two hander that realistically explores the complexities of a modern relationship in three distinct time periods, starring Adrian Mulraney and Jenny Baird.",15m,I Promise
150,7.5,25%,Jason Grant Smith,Jason Grant Smith,Desperate love seeking Cindy's day seems ruined when her blind date turns out to be a lunatic dressed as one of Santa's little helpers.,11m,Santa's Little Helper
151,7.7,--,Mike Blum,Mike Blum,Oil & Vinegar is the tragicomic tale of an olive oil and vinegar bottle whose lives intersect for one brief moment.,4m,Oil & Vinegar
152,--,--,Johanna Olausson,Johanna Olausson,A silent love story in the labyrinth of toilets.,12m,The End
153,--,--,Luc Perez,Luc Perez,Night. A couple says goodnight. A tale of love and repetition.,4m,There Is Love in Repetition
154,--,--,April Lynn Claytor,April Lynn Claytor,,--,Bloom
155,6.8,--,Aurel KlimtDerek Shea,Benoit BeaulieuDaniil KharmsAurel Klimt,"A bizarre, even absurd puppet film full of black humor that will completely shock you while making you laugh. It presents a day on a gray Moscow street during which life and death are treated rather cavalierly passersby watch with their own personal interest while an old man hangs onto the edge of a roof. In the meantime, the mishap of several old hags and an unfortun... Read all",15m,Pád
156,7.1,89%,Farhad Yawari,Farhad Yawari,"Lara is only able to escape from the harshness of the mental hospital by submerging herself in a dream world inspired by her goldfish bowl. This world is filled with the magic of the sea, beautiful, ethereal sounds and her love of dolphins. In the clinic, her imagination is largely suppressed, especially by an envious senior nurse. Only Jacob, a young orderly, is slow... Read all",41m,Dolphins
157,6.0,--,Christopher Gotschall,Chad LindseyBenjamin SprungerPaul Stovall,"Jamie, an aspiring photographer and clumsy romantic, falls for his friend William, a pre-med student who's involved in a long-term relationship with an older man. Shared dance lessons and shared wine lead to shared beds. William wants Jamie but won't leave his partner. Confronting William and confronted by William's partner, Jamie begins to sort out the difference bet... Read all",21m,Caught
158,6.5,--,Charles GuardThomas Guard,Dylan Ritson,Girl cleaning windows of an Oxford St store catches the eye of a guy in the street who larks about much to her amusement,7m,Inside-Out
159,6.1,--,Eva Dahr,Cecilia Solberg,12 year old Johan is completely in love with Veronica. He does everything he can to get her to notice him - but nothing works until he completely gives up.,10m,Taktikk
160,--,--,Olufunmilayo Gittens,Olufunmilayo Gittens,Buried memories come alive when a retired school teacher develops a friendship with an elderly gentleman.,27m,Lucky
161,5.9,--,Eugenio Zanetti,David Aaron CohenFrancis Glebas,"Quantum Project is the story of physicist and prodigy Paul Pentcho (Stephen Dorff), whose exploration of the quantum universe leads him on a collision course with life, destiny, and true love.",40m,Quantum Project
162,6.8,20%,Bavo Defurne,Bavo Defurne,Short about a camping trip for scouts where a boy falls in love with his best friend and causes tension in the scouting group.,21m,Campfire
163,5.8,--,Patricia Chica,Patricia ChicaAnnie Poitras,"""The Promise (La Promesse)"" is an urban romantic comedy that recounts 24 hours in the life of Victoria, an aspiring young singer who works as a bike courier in downtown Montreal. It is the eve of the new millennium, and Victoria celebrating her 25th birthday at the stroke of midnight. At the age of twelve, for her French class, Victoria had written a letter to the you... Read all",28m,La promesse
164,6.6,--,Vincent Chui,Antonio ChanYat Cheong LouieFair Shum,"This is an intricately and cleverly crafted tale of trust versus suspicion, and faithfulness versus infidelity, in marriage. He is never sure whether his wife truly loves him, yet is unwilling to clarify and face the truth, instead using his doubt and uncertainty as an excuse for his own wayward behavior.",35m,Beipan
