,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
22,--,--,Pau De La Sierra,Javier Bardem,,--,Brain
23,5.2,--,James Gray,John Albert,A private investigator who is hired to bring a man's 16-year-old runaway daughter back home has second thoughts about his job when he sees the man beat his daughter.,12m,Cowboys and Angels
24,--,--,Douglas Beer,Douglas Beer,"While staying in an Alpine hotel, an archaeologist sees a maid with a strange resemblance to a Roman woman painted on an fresco. A feeling makes him believe the maid could be facing a danger. He decides to extend his stay only to be confronted to his own fate.",15m,The Prediction
25,--,--,Alex Georges,Mike CahillAlex Georges,Add a plot,36m,Laura's Death
26,--,--,Joe Toppe,Joe Toppe,,--,Quarter After Midnight
27,--,--,Clarke M. Smith,Thomas FindlowAdam Kaye,Add a plot,5m,Foresight
28,--,--,Jon East,Alex Panton,"A photographer, Emma, is stranded on a moor when her car breaks down. She's rescued by a passing mechanic, Dean, who tows her to his isolated garage. A conflict ensues when Emma photographs Dean on his prized Matchless motorcycle.",17m,Matchless
29,7.1,--,Gaspar Noé,Gaspar Noé,"After a dreadful incident coupled with an ungovernable paroxysm of violence, a butcher will fall into a downward spiral that will burn to the ground whatever dignity still remained in him.",40m,Carne
30,5.3,--,Jesús R. Delgado,Jesús R. Delgado,"Delusional comedy about a prostitute, a stutterer and a spider who falls in love and is involved in a series of nonsense in a kind of Eldorado",15m,La viuda negra
31,8.1,--,Lincoln Kupchak,Lincoln Kupchak,Add a plot,5m,Deadly Love
32,6.3,--,Alejandro Amenábar,Alejandro Amenábar,A group of students are shooting a horror short film in a high school.,33m,Himenóptero
33,--,--,Ezio Massa,Ezio Massa,,35m,La terraza
34,--,--,Ulises Guzman,Enrique CastilloUlises Guzman,A psychopath tears off the eyes and hearts of his victims.,40m,Corazones de terciopelo
35,--,--,Katia FuentesAlejandro Valle,Katia FuentesAlejandro Valle,,17m,Reflejos
36,--,--,Arturo Carrasco,Arturo CarrascoJosé Movellan,,38m,Rosas de luna
37,--,--,Yvan GauthierBernard Jeanjean,Yvan GauthierBernard Jeanjean,,6m,Chasseur d'hôtel
38,--,--,Alexis Bicât,Alexis Bicât,A friend shows his disapproval when his user friend buys drugs from the local dealer and returns to find Nelson passed out yet again.,4m,Heroin
39,--,--,Scott Reynolds,Scott Reynolds,,7m,The M1nute
40,--,--,Carl Prechezer,Carl PrechezerPeter Salmi,Add a plot,--,The Cutter
41,--,--,Mike AraziaTim ClarkScott Golden,Dave MillerTim ClarkScott Golden,"""Trail of the Werewolf"" tells the tale of Harry who is a wild man wandering around the town and at night, during the full moon, - is a werewolf.",43m,Trail of the Werewolf
42,--,--,Emanuel Ruggeri,Emanuel RuggeriDominic Zappavigna,Add a plot,4m,Shanty Town Olympics
43,--,--,Paul Avedisian,Paul Avedisian,"Unsuspecting visitors to a remote country inn slip into an altered state after drinking tainted cocoa at the hands of a lonely, androgynous innkeeper.",16m,Next in Sequins
44,--,--,Dan HefnerDavid Lee Hefner,Dan HefnerDavid Lee HefnerMike Hefner,"Jock is an over-achieving, Nampa Senior High School student who is the last one to leave football practice. Due to unforeseeable circumstances, he is forced to walk home and when it starts to get dark, he decides to take a creepy shortcut home.",4m,Shortcut Home
45,--,--,Michael Kallio,Michael KallioMark Petty,,3m,Southern Hospitality Trailer
46,--,--,Nicolas Rutschmann,Nicolas Rutschmann,,1m,SNATCHY - Der Schatz des Barons
47,--,--,Nicolas Rutschmann,Nicolas Rutschmann,,1m,SNATCHY - Das Objekt der Begierde
48,--,--,Nicolas Rutschmann,Nicolas Rutschmann,,1m,SNATCHY - Das Werkzeug des Siegers
49,--,33%,José Luis Cubillo Fernández,Francisco José López,"Mario Barrera's Party Line is a very funny study of three Mexican-Americans, two men and a woman, devoted to phone sex that just might lead to the real thing. At the same time, they demonstrate their feelings about being Mexican-Americans.",15m,Party Line
50,5.9,--,Elbert van Strien,Elbert van Strien,Short psychological thriller in which a child psychiatrist treats a 10-year old boy who alleges that everything he imagines has really happened.,31m,De marionettenwereld
51,5.4,--,Roberto Fiesco,Roberto FiescoJulián Hernández,"Oscar works in a public bath, where he murders several people.",23m,Actos impuros
52,--,--,José LagaresManuel Lagares,José LagaresManuel Lagares,,15m,La jugada
53,--,--,Carsten FunkeMatthias Lehmann,Henrick HeckmannMatthias LehmannEva Munz,"A homicide's forensic photographer and lover of Franz Schubert's classic song ""Death and the Maiden"" finds clues that the adored female singer of his favourite song might be the prime suspect for a gruesome murder series.",25m,Die Nacht des Photographen
54,6.5,56%,Tim Pope,Jim Hogshire,Persimmon and Duke get their kicks by answering the small ads in the Hollywood Recycler. This alarming short drama is based on fact.,31m,Phone
55,1.0,--,Frank Delaney,Frances Delaney,,17m,Police Procedure
56,--,--,Rached M'Dini,Rached M'Dini,,11m,Les quatre lumières
57,--,--,Udo D. Müller,Udo D. Müller,,14m,Meine kleine Welt
58,7.4,--,Bruce Callarman,Michael BlumleinRobert ErnstBruce Callarman,"A hired gun descends into the dark, shadowy world of the man he must kill. A man with a photographic memory haunted by his past.",27m,Memory Serves
59,--,--,Tetsuo Lumiere,Tetsuo Lumiere,Add a plot,20m,El Extraño Caso de la mujer Acucharada.
60,--,--,Walter Bednarik,Eduard KorbelErwin Meisel,"A stranger visits a small town village to find something of interest. In the endless snowy and icy fields and forests, he realizes that somebody starts to follow him. Suddenly, he faces mortal combat - seemingly without any reason.",--,Der Fremde
61,--,--,Tom Mesmer,Tom MesmerEdgar Allan Poe,,--,Fortunato
62,6.4,--,Harald Zwart,Wenche FossLars SørbøJack Fjeldstad,"A television-team makes a surprise visit to an olympic athlete's grandmother. They want to capture her reaction just as her grandson crosses the finish line. Unfortunately, the woman is totally uninterested in sports, and doesn't even have a TV. The interview is a bust, but the team discovers something else that may be the scoop they have been looking for.",29m,Gull og grønne skoger
63,8.1,--,Scott Reynolds,Scott Reynolds,"For Kane Harris and Vera Smith, what starts as an easy task of murder becomes a tangled web of deception and betrayal. Their target, Kane's wife, is no easy victim.",17m,A Game with No Rules
64,7.4,--,Alejandra Moya,Leonardo García Tsao,"A car with a flat tire in the middle of a lonely road. A chain-smoking woman is waiting in the driver's seat. Suddenly, a car approaches. The driver (a somber menacing man) offers to help her. The woman refuses but he insists. She suspects he wants something more.",14m,Ponchada
65,5.9,--,David Koepp,David Koepp,A woman drives down an eerie highway at night in search of hospitality and come across some suspicious townsfolk and a little more than she bargained for..,15m,Suspicious
66,--,--,Farshid Seilatani,Farshid Seilatani,"It's about a young man who falls asleep and has a nightmare. In the dream, he sees another version of himself. The two of them start a conflict.",35m,Mardrömmen
67,--,--,Lutz Bierend,Lutz BierendDaniel SchwarzVolker Lamm,"Die 24 jährige, etwas kontaktarme Büroangestellte Corinna Schramm (ULRIKE GROTE) lernt über eine Heiratsanzeige Ewald Eichten (MATTHIAS FUCHS), 51, einen grundsoliden Verwaltungsoberinspektor kennen. Auf der Suche nach freundschaftlich-väterlicher Anlehnung ist sie vom weltmännischen und romantischen Auftreten Eichtens angezogen. Sie zieht zu ihm ins Einfamilienhaus i... Read all",42m,Der Verwaltungsoberinspektor
68,5.3,--,Shugo Fujii,Shugo Fujii,"A woman becomes obsessed with a man, and decides to kill his girlfriend.",18m,Grief
69,--,--,Sergio Naveda,Alejandro Licona,,40m,Bodas negras
70,--,--,Issa López,Issa López,,21m,Tan callando
71,--,--,Michael Bentham,Stephen McAteer,Sentimentality is a luxury no hitman can afford. Especially on Christmas.,26m,I Saw Mommy Killing Santa Claus
72,--,--,Karl Kimbrough,Robert C. HandyKarl Kimbrough,"A hapless traveler picks up a hiker and both get trapped on a farmer's land, where they quickly are running for their lives to escape the farmer's demise. The Farmer uses humans as live scarecrows.",11m,The Farmer
73,7.8,--,Raphael GamonRobert RhineRod Serling,--,"The Twilight Zone Tower of Terror is an accelerated drop tower dark ride located at Disney's Hollywood Studios, Tokyo DisneySea, Walt Disney Studios Park, and formerly located at Disney California Adventure.",3m,The Twilight Zone Tower of Terror
74,--,--,Simon Rumley,Simon Rumley,"A young man replies to an ad offering £10,000 for an unspecified request. In true 'Tales of the Unexpected' fashion, the young man meets the man from the ad, a mysterious old man, with dangerous intentions.",15m,Phew
75,--,--,Alberto Pernet,Daniel Di BiaseVerónica SabbatiniMatías Rossi,"In a nuclear power plant from the future, a man detects an error at the information system that will lead him to remember the world he lost. This feeling will push him to a tragic end.",7m,Factor humano
76,--,--,Jason Rosette,Jason Rosette,"Nancy has just moved into an old Brooklyn apartment, her things scattered across the floor. Unbeknownst to her, amongst her belongings is a package belonging to someone named 'Charlie'. A stranger named Frank appears to collect the box on Charlie's behalf and the history of the apartment, and the mysterious former tenant is revealed.",15m,Charlie's Box
77,--,--,Esmaeil Mihandoost,Esmaeil Mihandoost,"As a scriptwriter suffering from writer's block and with a broken leg, Maryam spends a restless night alone watching Alfred Hitchcock's classic 'Rear Window'. During the night, she becomes suspicious with the neighbours across from her, and just like the main protagonist in Hitchcock's film, she starts spying on the neighbours and is horrified by what she sees. Is Mar... Read all",23m,"Me, Rear Window and Nothing Else"
78,--,--,Luc Lefebvre,Luc Lefebvre,,--,Pemières constatations
79,5.3,57%,Martin Lima de Faria,Carsten KressnerMartin Lima de Faria,A science-fiction drama about a brain held in a laboratory for scientific reasons and its arising consciousness of itself.,30m,Brainstorm
80,7.3,--,Chris Bailey,Tim Hauser,"In an attempt to convince Minnie that he hasn't forgotten to buy her an anniversary present, Mickey Mouse ends up promising to take her to Hawaii. Funds being short, he applies for a job as lab assistant to the sinister Dr. Frankenollie, who happens to be searching for a donor to provide his monstrous creation with a brain...",7m,Runaway Brain
81,6.0,18%,John Coven,John Coven,"It's night in the Southern California desert. In what looks like the Depression, two hoboes board the same boxcar unbeknownst to each other. When the older one discovers the younger silent one, he starts a conversation, giving advice, being avuncular. The conversation turns ugly when he discovers his traveling companion is a young woman. She knows she's in danger, so ... Read all",14m,Night Train
82,7.1,--,Peter Mullan,Peter Mullan,"In a squalid tenement building in Glasgow, two toughs lock a helpless young boy inside a broken fridge-freezer.",20m,Fridge
83,--,--,Mark Kamps,Anthony MontesGeorge Russo,"Every Sunday morning Sonny and Leo, two amiable gangsters meet for breakfast to discuss the week's developments and any new hits, er, jobs that come up. But this Sunday morning is a little different. Being served with breakfast is a surprise that Sonny tries to explain but Leo can't believe. Is Sonny's wife at church or her head cooling in the freezer? We may never k... Read all",--,Last Sunday Morning
84,7.7,--,Paul Rachman,Paul RachmanNancy Rommelmann,"While two couples are taking a road trip, one husband finds that his wife has been unfaithful with his best friend. The jealous husband then drives towards an inescapable date with destiny.",13m,Drive Baby Drive
85,7.3,--,Jorge Simonet,Jorge Simonet,"Trailers are made for movies. Here is a trailer full of action, drugs, rock'n'roll... and no movie.",1m,Trailer
86,8.0,--,Pierre Ferrière,Pierre FerrièreOlivier Colpart,"On Christmas eve, Lieutenant Lucas's telephone keeps ringing. He can't tell who's calling until he notices, through his window, a strange creature who can't help but making phone calls...",16m,Force spéciale
87,--,--,--,--,,7m,Schock rojo
88,8.3,--,Piotr Szkopiak,Piotr Szkopiak,A psychological thriller in which a disillusioned young man becomes embroiled in a situation far more dangerous than he at first believed it to be.,17m,Let Sleeping Dogs Lie
89,--,--,Igor Fioravanti,Igor Fioravanti,,18m,Maika
90,--,--,Mario Nava,Mario Nava,,17m,Atun power
91,--,--,Carles Schenner,Carles Schenner,,11m,Hombre cero
92,--,100%,Marc Schölermann,Marc Schölermann,,10m,Angst
93,--,--,Michael Bentham,Michael Bentham,Two estranged brothers are forced to confront each other when a horrifying secret from their past threatens to surface.,9m,Face to Face
94,--,--,Alexis Bicât,Alexis Bicât,A dark tale about the duality of man.,10m,Two Parts Man
95,--,--,H Spencer Young,Brian FreundlichH Spencer Young,,5m,A Plethora of Panaceas
96,--,--,Robert Levi,Robert Levi,,15m,Mott Street
97,--,--,Scott Beveridge,Semi Chellas,,--,What's His Face
98,--,--,Jane Rogoyska,Barry Hale,,14m,Bloodlight
99,7.2,--,Veit Helmer,Veit Helmer,"While his lover is sleeping, a man assembles around her a Rube Goldberg collection of malevolent-looking implements. Then he leaves and lights the fuse . . .",6m,Surprise!
100,6.2,--,Miguel Bardem,Nacho Faerna,Add a plot,16m,La madre
101,--,--,Henry Moore Selder,Love Svensson,"In the days spent reading Pet Sounds, a novel filled with sadistic descriptions, the well off and bored Raymond is inspired to commit a series of increasingly violent and vile deeds to the people around him.",13m,Pet Sounds
102,--,--,John Alexander JimenezBrad Kaaya,John Alexander JimenezBrad Kaaya,"John Alexander Jimenez' A Little Off the Top immediately sets a sinister mood (intense close-ups, 40's noir music, use of b & w) as a well dressed, cocky executive steps into a seedy and dangerous neighborhood. As he gets a hair-cut, he disparages the barber, but the barber gets his revenge.",15m,A Little Off the Top
103,6.8,--,Vincenzo Natali,Vincenzo NataliKaren Walton,"Ben and Ellen are thrust into adventure when Hank, a blood covered security man of the building rushes into their elevator, claiming that there's a dangerous creature in the building.",17m,Elevated
104,--,--,Claudio Calabrò,Alessandro Bergonzoni,"A hotel room. The cleaning man. On the bed, a dying man and the cadaver of a woman.",9m,Piccola mattanza
105,6.2,20%,Jim Gillespie,Jim GillespieRamsey Campbell,"The electrifying journey of a cable repairman at the hands of two lunatic joy riders. In the middle of night, in the middle of winter and, yes, in the middle of nowhere.",10m,Joyride
106,6.4,--,Paul Hough,Paul Hough,Jamie picks up a payphone on a New York Street corner. He's told that if he puts the phone down he will be shot by a sniper.,--,End of the Line
107,6.9,--,Marc Schölermann,Marc Schölermann,When a young woman stops at a rest area she finds herself chased by a killer on the loose. Or is it just her imagination...?,10m,Heimweg
108,--,--,Claudio Fäh,Claudio Fäh,,16m,Kilometer 11
109,--,--,David Burris,David Burris,An abstracted young man picks up a darkly beautiful hitchhiker on a lonely Southern highway. Is she lost or a lovely apparition?,--,The Side of the Road
110,--,--,Tonatiuh Martínez Valdéz,Olinda DominguezMaite GarciaEdmundo Ibarra,,5m,Penumbra
111,--,--,Luis B. Carranco,Luis B. CarrancoJose Antonio Valdez,Add a plot,23m,Coleccionistas
112,--,43%,Fernando Reyes,Fernando Reyes,,15m,Clandestinos
113,--,--,Andrés León BeckerJavier Solar,Andrés León BeckerJavier Solar,,12m,Cococobana
114,--,--,Christopher M. Armstrong,Chris ArmstrongChristopher M. Armstrong,Add a plot,7m,The Lift
115,--,--,Carlos Caridad-Montero,Carlos Caridad-Montero,Add a plot,24m,La estrategia del azar
116,--,--,Mark Anthony Galluzzo,Mark Anthony Galluzzo,"Will a man who has committed the perfect murder be able to live with the guilt? Will he allow his desire for absolution to override that of self-preservation? Will something as harmless as a parlor game push him into revealing his horrible secret? In the classical style of The Twilight Zone, medical student Phillip Howe wages battle against himself as he fights his ur... Read all",22m,The Confession
117,--,--,Stefan Schlösser,Stefan Schlösser,,--,Doom III
118,--,--,Shivam Nair,Anurag Kashyap,,--,Auto Narayan
119,7.5,--,Jamie Neese,Jamie Neese,,--,A La Cart
120,7.7,--,Kat Smith,Kat Smith,A young fugitive witnesses an act which may provide him his last shot at redemption.,26m,The Clearing
121,5.4,31%,Scott Henkel,Rod SerlingScott Henkel,A young college student traveling back to school is terrorized by a menacing hitchhiker.,42m,End of the Road
122,4.8,--,Bruno de André,Wander PiroliBruno de André,"City of Sao Paulo, 1969, 5th year of the military dictatorship in Brazil (1964-1985). In the hot Christmas afternoon, a boy takes a roast chicken to an older colleague he works with at the bank. He never went to that big old house, all he knows is it's his friend's new address. There, the boy finds two unknown men, who have some questions he will have to answer.",15m,Os Camaradas
123,6.1,--,Rian Johnson,Rian Johnson,"After a bad deed, a man is haunted by an unusual type of fiend.",8m,Evil Demon Golf Ball from Hell!!!
124,--,--,Jurgen Proschinger,Jurgen Proschinger,"In a dictatorial society that has censored nature for concrete and higher living standards, a curious and innocent boy embarks upon a quest that will change his life forever. By experiencing beauty where no beauty is allowed to exist, in a blind world he will have his eyes opened.",6m,Once There Was Green
125,7.3,--,Joshua Barnett,Joshua BarnettA.G. Moffatt,,31m,Cat
126,4.2,--,Joachim RønningEspen Sandberg,Kåre ConradiBjørn FlobergAlex Rosén,,22m,Dag 1
127,7.0,72%,Christopher Nolan,Christopher Nolan,"In his squalid apartment, a man tries to squash with his shoe an insect of some kind that is moving around the room.",3m,Doodlebug
128,5.9,--,Shugo Fujii,Shugo Fujii,A man becomes obsessed with a woman he glimpses through a window.,29m,Seesaw Game
129,5.8,4%,Simon Hunter,Simon Hunter,Add a plot,11m,Wired
130,--,--,Enric Folch,Enric Folch,,11m,Coses que passen
131,--,--,Rigoberto Castañeda,Rigoberto Castañeda,"A love triangle between a misogynist, a schizophrenic and a misanthropic necrophile.",16m,Necrofilia
132,--,46%,Jean-Philippe Gredigui,Abdel Raouf DafriJean-Philippe GrediguiJean-Philippe Grediqui,,13m,Habeas Corpus
133,--,--,Mat King,Justin Danks,"Michael is looking forward to two weeks of bliss. His wife has gone away and he can spend some time frolicking with his young mistress. However it's not long until Michael finds out that things do not always go to plan. While doing the best to get rid of his nagging wife, obey his mistresses every command and trying to avoid the old lady next door, Michael soon discov... Read all",17m,Devil in the Detail
134,--,--,Nicolas Bazz,Nicolas Bazz,,16m,Clueur
135,--,--,Gwilym Lloyd,Gwilym Lloyd,"Angel and Lola are a happy couple planning to marry. Everything looks perfect, but suddenly London, an English guy that's visiting Spain, tries to split the couple in order to feel better himself. Lola falls in love with him instead, and becomes 'Ela', a mentally ill woman that travels around the world with London. Angel tries to commit suicide but a barman he meets i... Read all",8m,Set menys set
136,--,19%,P.l Hobden,P.l HobdenAndrew Whitehurst,,7m,Asylum
137,--,--,Toni Abad,Toni Abad,,8m,El encargo 2 (El gordo)
138,--,--,M. Frank,M. Frank,"In Memory of Laura is a shocking blend of psychological horror and sexual obsession. When a man loses his one true love his depression soon turns to insanity. His fractured mind leads him on a relentless hunt through sordid lonely streets for a replacement for Laura, dead or alive. This unnerving, squalid short is truly unsettling to watch. The three leads, John Griff... Read all",18m,In Memory of Laura
139,5.2,62%,D. Charles Griffith,D. Charles GriffithByron Kavanagh,"Four friends from Boston spend a weekend in a cabin in Northern New Hampshire when they are suddenly trapped by a snow storm. Before they can even settle in the door comes crashing in. There on the floor lays a man, half dead from being unprotected from the harsh outdoors. Panicked, he cries out, ""I have to warn you! Someone knows!"" Unable to say more he loses conscio... Read all",10m,Cabin Fever
140,--,--,Abner Pastoll,Abner Pastoll,An ancient myth becomes reality when a playful demon is unleashed.,12m,The Sand One
141,5.8,--,Ian Kessner,Ian KessnerPhilip Levens,"On the day Jamie moves into a remote house that's been vacant for some time, she finds a jigsaw puzzle in a dusty old box. She begins the puzzle after a friend and two odd moving men have left her alone. By nightfall, it's stormy. The lights flicker and go out. The storm intensifies, and by candlelight she keeps working on the puzzle. As she realizes what she's lookin... Read all",17m,The Puzzle
142,6.8,--,Leonardo Salvo,Martine RochonAndré ChampagneGenevieve Bissonnette,,23m,Elysian Fields
143,3.5,--,Nathan S. Garfinkel,Kellie Ann BenzNathan S. Garfinkel,"Five people believe they have seen the infamous lake monster, Ogopogo, only to discover that it saw them first. What transpires are moments of humour, confusion, chaos and ultimately sheer terror.",3m,Sploosh
144,--,--,Jesse Pomeroy,Jo BozarthJohn BridelRichard Gunn,"To overcome her fear of the future, she had to destroy her past.",31m,The Fire Inside
145,7.6,--,Stuart Acher,Jeremy Catalino,"An elementary school principal arrives at school to find a video tape that is sent from the ""future"". The tape is from Bobby, age 40. But in the present time, Bobby is in elementary school at the same school. The tape's message is incredible, but concise: Stop a school bus accident that will kill 50 students that are on a field trip.",21m,Bobby Loves Mangos
146,8.4,--,D.C. DouglasReagan Bailey Wilks,D.C. DouglasNoah Michael Levine,Two Scientologists torture a Christ wannabe for computer secrets.,--,The Eighth Plane
147,7.4,--,Christophe Joly,Christophe Joly,,10m,10 Seconds
148,8.2,--,Tim Conrad,Tim Conrad,An eccentric old man takes bizarre revenge on a couple preying on the elderly.,13m,Birds of Prey
149,6.6,11%,Ellory Elkayem,Ellory Elkayem,"A young woman battles against a series of giant spiders, spawned by toxic waste, in her new suburban home.",13m,Larger Than Life
150,7.2,--,Ramzi Abed,Ramzi Abed,"An atmospheric tale of a disconnected boy and his imagination, where the dark monotony of the everyday transforms into something far more surreal.",16m,Nobody
151,8.5,--,Ramiro García Bogliano,Adrian Garcia BoglianoRamiro García Bogliano,Add a plot,12m,Policlínico miserable
152,--,--,Pete Jensko,Pete Jensko,"An old woman is tormented by the ghost of her neighbour, a girl brutally beaten to death by her boyfriend.",25m,Images of Helen
153,6.2,--,Mads Larsen NielsenPeter Ørskov Madsen,Mads Larsen NielsenPeter Ørskov Madsen,"After receiving the pig a day too early, Al races through nightmarish worlds to escape the curse of the pig.",8m,The Day the Women Took Over or I Was a Teenage Neo-Impressionist
154,6.9,68%,Adam Turner,Adam TurnerDennis Sheffer,A son tries to transport a stolen kidney for his ill father across the country.,22m,Drive
155,--,--,Nicholas Sousa,Nicholas Sousa,"Haunted by memories of his dead older brother, Ben volunteers as an informant for the DEA and discovers the unglamorous truth about what it takes to be a hero.",16m,Harm's Way
156,--,45%,Elias Giannakakis,Elias Giannakakis,,30m,Patagonia
157,--,17%,Simon Backès,--,,9m,Camouflage
158,7.3,--,Jorge Olguín,Christián MaldonadoJorge Olguín,"Three common delinquents enter a house, but one of them loses the control when they must kidnap to witnesses.",15m,Un héroe llamado José
159,7.5,81%,George Hickenlooper,Billy Bob Thornton,"Twenty-five years after commiting a double murder, Karl Childers is going to be released from an institution for the criminally insane. A local reporter comes to talk to him, and after some fussing about her gender, the institution's director lets her talk to Karl (after all, he'll have to talk to women after his release). Karl talks about his life leading up to the c... Read all",25m,Some Folks Call It a Sling Blade
160,5.4,--,Andrew Van Slee,Andrew Van Slee,"The Stalker takes the audience on a wild ride through the dark mind of Edward, a sophisticated Englishman.",22m,The Stalker
161,6.0,--,Eric Valette,Eric Valette,Add a plot,13m,"Samedi, dimanche et aussi lundi"
162,7.7,--,Philipp Kadelbach,Philipp Kadelbach,,12m,Platonische Liebe
163,6.7,--,Cristian Olcina,Luisa PeluffoTufi BalacMauro Chapuis,A thriller about black magic and betrayal with fantastic successes.,26m,Atrapados
164,--,--,Charlie Minn,Charlie Minn,"When a woman discovers that she has contracted HIV, she decides to hold a grocery store hostage.",--,5:55
165,4.4,--,Janosch Orlowsky,Janosch Orlowsky,,8m,Als es Nacht wurde in Deutschland
166,4.4,--,Arya Tariverdi,Laurens Martina,,35m,Pentaphyllon
167,8.2,--,Blake BrocksmithMark O'Toole,Blake BrocksmithPatrick Coleman Duncan,"Frank and Jes are best friends. Dissatisfied with their lives they stick a pin in a map and head for a town called Jericho to find jobs and start over. They happen upon a homeless hitch hiker who may or may not be a psychic, a psycho, an alien invader or even the devil himself.",--,"So, What's in Jericho?"
168,7.0,--,Jessica Nilsson,Jessica Nilsson,,5m,Spotless
169,--,--,Rogier GerritsenWiendelt Hooijer,Rogier GerritsenWiendelt Hooijer,In this psychological thriller we follow a young and attractive woman who wants to make a new start in her life by moving to a small and quiet village. The local people seem to be a bit nervous watching the new inhabitant and give her angry looks. Horrifying flashbacks start to get control of the young woman....and the question rises: what has happened in the past?,23m,Waan
170,--,--,Carlos Lozano Boone,Rodrigo GuardiolaCarlos Lozano Boone,,12m,Algunos días son mejores que otros
171,6.9,--,P.l Hobden,P.l Hobden,,15m,Blue Eyes
172,--,--,Germán Lammers,Mauricio CedenoJesús HernándezMarco Treviño,"Organ trafficking has unleashed in the dark, dusty and chaotic city of Guadalajara, in the West of Mexico. When a Red Top press Photographer with artistic aspirations arrives to the scene of a kind of funny accident to do his job, he's involved in a risky situation, just around the corner of a sinister bar. One Tequila and Soda won't exactly help. Or may be.",22m,El aguacate
173,--,--,Miguel EscamillaÁngeles Martínez,Miguel EscamillaÁngeles Martínez,,10m,Agobiado y distraído en un motel de carretera una calurosa noche de primavera con seis preguntas y tres muertos
174,--,--,Christina Kinne,Christina Kinne,Mania and Reality in Lust Murder,25m,Murdermind
175,--,--,Dino Giarrusso,Dino Giarrusso,,12m,La fine
176,--,--,Hereward Selby,Rob AspeyHereward Selby,,5m,Dancer's Ledge
177,--,56%,Paul Williams,Paul Williams,Add a plot,30m,Sold
178,--,--,Jimo Salako,Jimo SalakoToks Salako,"A man secretly overhears a heated conversation about race relations, which triggers off reflections that ultimately lead to a dramatic confrontation.",18m,Lateef the Mechanic
179,6.2,71%,Dmitri Popov,Matthias Seelig,,15m,Nighthawks
180,--,51%,Osama Hashmi,Omar HashmiOsama Hashmi,"This movie depicts strange phenomenon that are caused by Satan, and lead to Armageddon or the end of the world. Following a series of mysterious deaths a news reporter stumbles into the small town of Greensville which seems to be the heart of the evil movement. In time, Satan convinces the leaders of the world to turn up against each other and thus the final hour for ... Read all",--,The Promise
